Popularity,Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Director,Stars,Certificate
0,Baldur's Gate III,"Action, Adventure, Fantasy",9.8,"1,130",,2023,"Return to the Faerun in a tale of fellowship and betrayal, and the lure of absolute power. Mysterious abilities are awakening inside you. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.","Swen Vincke,","Amelia Tyler, Neil Newbon, Jennifer English, Devora Wilde",M
1,Starfield,"Action, Adventure, Drama",8.7,524,,2023,"Set 300 years in the future, the player will assume the role of a customisable character who is a member of Constellation, an organization of space explorers.","Todd Howard,","Sumalee Montano, Damien C. Haas, Barry Wiggins, Jake Green",M
2,Red Dead Redemption II,"Action, Adventure, Crime",9.7,"47,844",,2018,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",,"Benjamin Byron Davis, Roger Clark, Rob Wiethoff, Cali Elizabeth Moore",M
3,Armored Core VI: Fires of Rubicon,"Action, Adventure, Sci-Fi",7.9,114,,2023,"Fifty years after a cataclysm caused by a substance discovered on the planet Rubicon 3 that destroyed the planet and surrounding stars, a mercenary travels to Rubicon 3 and is pulled into a war over the substance involving many factions.","Masaru Yamamura, Kenneth Kin Yue Chan, Hidetaka Miyazaki, Naoyuki Takahashi,","Fairouz Ai, Takayuki Sakazume, Megumi Han, Ayaka Shimoyamada",T
4,The Quarry,"Action, Adventure, Drama",8,"4,625",,2022,"When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror.","Will Byles,","Siobhan Williams, Skyler Gisondo, Ted Raimi, Grace Zabriskie",M
5,God of War: Ragnarök,"Action, Adventure, Drama",9.6,"14,449",,2022,"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.","Eric Williams,","Christopher Judge, Sunny Suljic, Danielle Bisutti, Robert Craighead",M
6,Grand Theft Auto V,"Action, Adventure, Crime",9.5,"67,533",,2013,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,,"Shawn Fonteno, Ned Luke, Steven Ogg, Gerald 'Slink' Johnson",M
7,Mortal Kombat 1,"Action, Adventure, Fantasy",,,,2023,"Discover a reborn Mortal Kombat Universe created by the Fire God Liu Kang. Mortal Kombat 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities.","Ed Boon, Paul Johnson,","Steve Blum, Cherise Boothe, Andrew Bowen, John Cena",M
8,Detroit: Become Human,"Action, Adventure, Drama",9.2,"20,802",,2018,Take control of three androids in their quest to discover who they really are.,"David Cage,","Valorie Curry, Bryan Dechart, Jesse Williams, Audrey Boustani",M
9,Star Wars Jedi: Survivor,"Action, Adventure, Drama",9.1,"3,080",,2023,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor, a galaxy-spanning, third-person, action-adventure game.","Stig Asmussen,","Cameron Monaghan, Debra Wilson, Noshir Dalal, Tina Ivlev",T
