,Product,Date Range,Market Price
0,151: Alakazam ex Collection,7/16 to 7/18,$32.19
1,151: Alakazam ex Collection,7/19 to 7/21,$31.91
2,151: Alakazam ex Collection,7/22 to 7/24,$31.28
3,151: Alakazam ex Collection,7/25 to 7/27,$31.21
4,151: Alakazam ex Collection,7/28 to 7/30,$30.09
5,151: Alakazam ex Collection,7/31 to 8/2,$28.73
6,151: Alakazam ex Collection,8/3 to 8/5,$27.86
7,151: Alakazam ex Collection,8/6 to 8/8,$27.24
8,151: Alakazam ex Collection,8/9 to 8/11,$26.57
9,151: Alakazam ex Collection,8/12 to 8/14,$26.07
10,151: Alakazam ex Collection,8/15 to 8/17,$24.73
11,151: Alakazam ex Collection,8/18 to 8/20,$22.95
12,151: Alakazam ex Collection,8/21 to 8/23,$22.60
13,151: Alakazam ex Collection,8/24 to 8/26,$22.64
14,151: Alakazam ex Collection,8/27 to 8/29,$22.60
15,151: Alakazam ex Collection,8/30 to 9/1,$22.45
16,151: Alakazam ex Collection,9/2 to 9/4,$22.40
17,151: Alakazam ex Collection,9/5 to 9/7,$22.35
18,151: Alakazam ex Collection,9/8 to 9/10,$22.31
19,151: Alakazam ex Collection,9/11 to 9/13,$22.30
20,151: Alakazam ex Collection,9/14 to 9/16,$22.29
21,151: Alakazam ex Collection,9/17 to 9/19,$22.27
22,151: Alakazam ex Collection,9/20 to 9/22,$22.30
23,151: Alakazam ex Collection,9/23 to 9/25,$25.47
24,151: Alakazam ex Collection,9/26 to 9/28,$29.77
25,151: Alakazam ex Collection,9/29 to 10/1,$31.99
26,151: Alakazam ex Collection,10/2 to 10/4,$30.65
27,151: Alakazam ex Collection,10/5 to 10/7,$24.53
28,151: Alakazam ex Collection,10/8 to 10/10,$25.48
29,151: Alakazam ex Collection,10/11 to 10/13,$23.85
30,151 Binder Collection,7/16 to 7/18,$36.80
31,151 Binder Collection,7/19 to 7/21,$36.25
32,151 Binder Collection,7/22 to 7/24,$33.66
33,151 Binder Collection,7/25 to 7/27,$33.11
34,151 Binder Collection,7/28 to 7/30,$31.64
35,151 Binder Collection,7/31 to 8/2,$30.24
36,151 Binder Collection,8/3 to 8/5,$29.71
37,151 Binder Collection,8/6 to 8/8,$29.38
38,151 Binder Collection,8/9 to 8/11,$28.95
39,151 Binder Collection,8/12 to 8/14,$28.35
40,151 Binder Collection,8/15 to 8/17,$27.57
41,151 Binder Collection,8/18 to 8/20,$27.13
42,151 Binder Collection,8/21 to 8/23,$27.00
43,151 Binder Collection,8/24 to 8/26,$26.81
44,151 Binder Collection,8/27 to 8/29,$26.76
45,151 Binder Collection,8/30 to 9/1,$26.72
46,151 Binder Collection,9/2 to 9/4,$26.66
47,151 Binder Collection,9/5 to 9/7,$26.61
48,151 Binder Collection,9/8 to 9/10,$26.59
49,151 Binder Collection,9/11 to 9/13,$26.58
50,151 Binder Collection,9/14 to 9/16,$26.49
51,151 Binder Collection,9/17 to 9/19,$26.63
52,151 Binder Collection,9/20 to 9/22,$28.98
53,151 Binder Collection,9/23 to 9/25,$32.36
54,151 Binder Collection,9/26 to 9/28,$33.54
55,151 Binder Collection,9/29 to 10/1,$37.03
56,151 Binder Collection,10/2 to 10/4,$34.50
57,151 Binder Collection,10/5 to 10/7,$33.73
58,151 Binder Collection,10/8 to 10/10,$34.17
59,151 Binder Collection,10/11 to 10/13,$35.46
60,151 Binder Collection Case,7/16 to 7/18,$0.00
61,151 Binder Collection Case,7/19 to 7/21,$0.00
62,151 Binder Collection Case,7/22 to 7/24,$0.00
63,151 Binder Collection Case,7/25 to 7/27,$0.00
64,151 Binder Collection Case,7/28 to 7/30,$0.00
65,151 Binder Collection Case,7/31 to 8/2,$0.00
66,151 Binder Collection Case,8/3 to 8/5,$0.00
67,151 Binder Collection Case,8/6 to 8/8,$0.00
68,151 Binder Collection Case,8/9 to 8/11,$0.00
69,151 Binder Collection Case,8/12 to 8/14,$0.00
70,151 Binder Collection Case,8/15 to 8/17,$0.00
71,151 Binder Collection Case,8/18 to 8/20,$0.00
72,151 Binder Collection Case,8/21 to 8/23,$0.00
73,151 Binder Collection Case,8/24 to 8/26,$0.00
74,151 Binder Collection Case,8/27 to 8/29,$228.14
75,151 Binder Collection Case,8/30 to 9/1,$228.14
76,151 Binder Collection Case,9/2 to 9/4,$228.14
77,151 Binder Collection Case,9/5 to 9/7,$228.14
78,151 Binder Collection Case,9/8 to 9/10,$228.14
79,151 Binder Collection Case,9/11 to 9/13,$228.14
80,151 Binder Collection Case,9/14 to 9/16,$228.14
81,151 Binder Collection Case,9/17 to 9/19,$228.14
82,151 Binder Collection Case,9/20 to 9/22,$144.81
83,151 Binder Collection Case,9/23 to 9/25,$151.77
84,151 Binder Collection Case,9/26 to 9/28,$155.60
85,151 Binder Collection Case,9/29 to 10/1,$157.73
86,151 Binder Collection Case,10/2 to 10/4,$159.18
87,151 Binder Collection Case,10/5 to 10/7,$158.86
88,151 Binder Collection Case,10/8 to 10/10,$158.48
89,151 Binder Collection Case,10/11 to 10/13,$158.58
90,151 Booster Bundle,7/16 to 7/18,$31.94
91,151 Booster Bundle,7/19 to 7/21,$31.85
92,151 Booster Bundle,7/22 to 7/24,$31.58
93,151 Booster Bundle,7/25 to 7/27,$31.33
94,151 Booster Bundle,7/28 to 7/30,$31.12
95,151 Booster Bundle,7/31 to 8/2,$31.08
96,151 Booster Bundle,8/3 to 8/5,$31.75
97,151 Booster Bundle,8/6 to 8/8,$31.70
98,151 Booster Bundle,8/9 to 8/11,$31.89
99,151 Booster Bundle,8/12 to 8/14,$34.48
100,151 Booster Bundle,8/15 to 8/17,$38.46
101,151 Booster Bundle,8/18 to 8/20,$39.77
102,151 Booster Bundle,8/21 to 8/23,$39.74
103,151 Booster Bundle,8/24 to 8/26,$40.26
104,151 Booster Bundle,8/27 to 8/29,$42.78
105,151 Booster Bundle,8/30 to 9/1,$42.98
106,151 Booster Bundle,9/2 to 9/4,$43.12
107,151 Booster Bundle,9/5 to 9/7,$49.11
108,151 Booster Bundle,9/8 to 9/10,$48.95
109,151 Booster Bundle,9/11 to 9/13,$49.27
110,151 Booster Bundle,9/14 to 9/16,$47.39
111,151 Booster Bundle,9/17 to 9/19,$46.64
112,151 Booster Bundle,9/20 to 9/22,$41.98
113,151 Booster Bundle,9/23 to 9/25,$41.50
114,151 Booster Bundle,9/26 to 9/28,$41.96
115,151 Booster Bundle,9/29 to 10/1,$43.07
116,151 Booster Bundle,10/2 to 10/4,$39.25
117,151 Booster Bundle,10/5 to 10/7,$41.52
118,151 Booster Bundle,10/8 to 10/10,$43.01
119,151 Booster Bundle,10/11 to 10/13,$39.93
120,151 Booster Bundle Display,7/16 to 7/18,$0.00
121,151 Booster Bundle Display,7/19 to 7/21,$0.00
122,151 Booster Bundle Display,7/22 to 7/24,$0.00
123,151 Booster Bundle Display,7/25 to 7/27,$0.00
124,151 Booster Bundle Display,7/28 to 7/30,$0.00
125,151 Booster Bundle Display,7/31 to 8/2,$0.00
126,151 Booster Bundle Display,8/3 to 8/5,$0.00
127,151 Booster Bundle Display,8/6 to 8/8,$0.00
128,151 Booster Bundle Display,8/9 to 8/11,$0.00
129,151 Booster Bundle Display,8/12 to 8/14,$0.00
130,151 Booster Bundle Display,8/15 to 8/17,$0.00
131,151 Booster Bundle Display,8/18 to 8/20,$0.00
132,151 Booster Bundle Display,8/21 to 8/23,$399.99
133,151 Booster Bundle Display,8/24 to 8/26,$399.99
